編號,機關代碼,縣市別代碼,行政區域代碼,鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,民國年月,移轉層次,總層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
1,387000000A,66000,66000000,中區,租賃房屋,臺中市中區雙十路１段１９巷１８號６樓之３,0,,,,11209,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,760220,37,166.71,2,1,2,有,有,12000,72,,0,0,此為住宅及都市更新中心社會住宅包租代管計畫,5(揭露且明細顯示備註)
2,387000000A,66000,66000000,中區,建物,臺中市中區中華路一段１２１號五樓之２７,0,商,,,11201,五層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,850520,27,34.07,1,0,1,有,有,3000,88,,0,0,社宅案件,5(揭露且明細顯示備註)
3,387000000A,66000,66000000,中區,租賃房屋,臺中市中區三民路二段１４５號５樓之３.A室,10.54,商,,,11210,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790614,33,88.43,3,3,3,有,有,8000,90,,0,0,,2(資料揭露)
4,387000000A,66000,66000000,中區,建物,臺中市中區臺灣大道一段５０１號１２樓之１,0,商,,,11202,十二層,12,辦公商業大樓,商業用,鋼筋混凝土造,740829,37,871.96,0,0,0,無,有,79131,91,升降機械,0,0,租金含稅，承租面積不包含屋頂突出物及部分公設,5(揭露且明細顯示備註)
5,387000000A,66000,66000000,中區,租賃房屋,臺中市中區中華路一段１２１號４樓之７,1.95,商,,,11209,四層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,850520,27,38.71,1,0,1,有,有,4000,103,,0,0,社會住宅包租代管公會版。,5(揭露且明細顯示備註)
6,387000000A,66000,66000000,中區,租賃房屋,臺中市中區三民路二段１４５號５樓之３.B室,10.54,商,,,11210,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790614,33,88.43,3,3,3,有,有,9500,107,,0,0,,2(資料揭露)
7,387000000A,66000,66000000,中區,建物,臺中市中區仁愛街８-４號５樓之９,0,商,,,11207,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670401,45,39.4,1,0,0,無,無,4200,107,,0,0,,2(資料揭露)
8,387000000A,66000,66000000,中區,租賃房屋,臺中市中區光復路合作大樓５-４９號,12.75,商,,,11210,五層,5,公寓(5樓含以下無電梯),住家用,見其他登記事項,560427,56,62.58,2,1,1,有,有,7000,112,,0,0,因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,5(揭露且明細顯示備註)
9,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區三民路２段５９號１０樓之６,6.6,商,,,11204,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740521,38,79.69,2,2,1,有,有,9000,113,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
10,387000000A,66000,66000000,中區,租賃房屋,臺中市中區中華路一段１０９號９樓之１,4.53,商,,,11209,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701229,42,57.16,1,1,1,有,有,6500,114,,0,0,,2(資料揭露)
11,387000000A,66000,66000000,中區,租賃房屋,臺中市中區中華路一段１２１號７樓之７,1.65,商,,,11209,七層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,850520,27,38.71,1,0,1,有,有,4500,116,,0,0,社會住宅包租代管公會版。續租案件;,5(揭露且明細顯示備註)
12,387000000A,66000,66000000,中區,租賃房屋,臺中市中區台灣大道一段５０１號１０樓之１,386,商,,,11209,十層,12,辦公商業大樓,商業用,鋼筋混凝土造,740829,38,682.02,0,0,0,無,有,80000,117,,0,0,租金總額含稅;租賃期間有約定不同租金;,2(資料揭露)
13,387000000A,66000,66000000,中區,建物,臺中市中區臺灣大道一段３２９號十一樓之１,0,商,,,11208,見其他登記事項,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,810914,31,76.26,1,0,1,有,有,9000,118,,0,0,住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費由承租人負擔。,5(揭露且明細顯示備註)
14,387000000A,66000,66000000,中區,建物,臺中市中區中山路７６號,0,商,,,11208,見其他登記事項,6,店面(店鋪),住商用,鋼筋混凝土造,670713,45,707.67,4,2,5,有,無,85000,120,,0,0,租賃期間含免租金裝潢期。一樓營業，二樓以上辦公室使用。租金調漲：117年9月1 日至122年8月31日止每月新台幣壹拾壹萬元整。,5(揭露且明細顯示備註)
15,387000000A,66000,66000000,中區,租賃房屋,臺中市中區民權路１０６號７樓之６,0,,,,11210,七層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,840926,28,105.84,3,2,1,有,有,13000,123,,0,0,,2(資料揭露)
16,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區三民路２段５９號十二樓之六,12.02,商,,,11207,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740521,38,79.47,1,1,1,有,有,10000,126,,0,0,社會住宅包租代管公會版(3期596),5(揭露且明細顯示備註)
17,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區光復路４４號,418,商,,,11207,全,7,透天厝,商業用,鋼筋混凝土造,660709,46,3152.08,70,1,70,有,無,400000,127,,0,0,門牌改編:光復路４２之３號含營業設備。;,5(揭露且明細顯示備註)
18,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區光復路１２２號、１２６巷１號,234,商,,,11202,全,3,透天厝,商業用,見其他登記事項,,0,551.24,0,0,0,無,無,70312,128,,0,0,"租賃合約書上2個門牌,但2間是打通所以寫成1份合約",5(揭露且明細顯示備註)
19,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區中華路一段１０９號十樓之８,2.98,商,,,11208,十層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,701229,42,34.7,1,0,1,有,有,4500,130,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
20,387000000A,66000,66000000,中區,建物,臺中市中區三民路二段５９號１０樓之８,0,住,,,11201,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740521,38,88.05,1,1,1,有,有,12000,136,,0,0,,2(資料揭露)
21,387000000A,66000,66000000,中區,建物,臺中市中區成功路３０６巷１０號１２樓之１３,0,住,,,11203,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821102,29,69.45,1,0,1,有,有,9500,137,,0,0,,2(資料揭露)
22,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號１２樓之３１,2.23,商,,,11203,十二層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,43.24,1,0,1,有,有,6000,139,,0,0,社會住宅包租代管公會版(3期),5(揭露且明細顯示備註)
23,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區光復路４０號６樓之１,7.91,商,,,11204,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,711111,40,57.28,1,0,1,有,有,8000,140,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
24,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區三民路２段５９號１２樓之４,12.02,商,,,11207,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740521,38,34.23,1,0,1,有,有,4800,140,,0,0,社會住宅包租代管公會版(4期028),5(揭露且明細顯示備註)
25,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區公園路３８號９樓之３０,3.52,商,,,11208,九層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,701231,42,42.1,1,0,1,有,有,6000,143,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
26,387000000A,66000,66000000,中區,建物,臺中市中區興民街１號７樓之３,0,商,,,11112,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830615,28,34.93,1,1,1,有,有,5000,143,,0,0,社宅案件,5(揭露且明細顯示備註)
27,387000000A,66000,66000000,中區,建物,臺中市中區興民街１號７樓之３,0,商,,,11112,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830615,28,34.93,1,1,1,有,有,5000,143,,0,0,社宅案件,5(揭露且明細顯示備註)
28,387000000A,66000,66000000,中區,租賃房屋,臺中市中區公園路３８號１０樓之３３,0,,,,11210,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701231,42,34.68,0,0,0,無,有,5000,144,,0,0,,2(資料揭露)
29,387000000A,66000,66000000,中區,租賃房屋,臺中市中區成功路３０６巷１０號１２樓之１３,0,,,,11210,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821102,30,69.45,1,0,1,有,無,10000,144,,0,0,,2(資料揭露)
30,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區三民路２段５９號十二樓之五,2.88,商,,,11207,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740521,38,34.23,1,0,1,有,有,5000,146,,0,0,社會住宅包租代管公會版(4期019),5(揭露且明細顯示備註)
31,387000000A,66000,66000000,中區,建物,臺中市中區建國路８５號１０樓之２,0,住,,,11112,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,700520,42,67.94,1,1,1,有,有,10000,147,,0,0,,2(資料揭露)
32,387000000A,66000,66000000,中區,租賃房屋,臺中市中區自由路二段１２號四樓之５,0,,,,11210,四層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,720427,40,33.92,1,0,1,有,有,5000,147,,0,0,,2(資料揭露)
33,387000000A,66000,66000000,中區,租賃房屋,臺中市中區中華路一段１２１號１４樓之１０,1.5,住,,,11209,十四層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,850520,27,33.75,1,1,2,有,有,5000,148,,0,0,社會住宅包租代管公會版。續租案件;,5(揭露且明細顯示備註)
34,387000000A,66000,66000000,中區,租賃房屋,臺中市中區中華路一段１２１號１４樓之２,1.5,商,,,11209,十四層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,850520,27,33.75,1,0,1,有,有,5000,148,,0,0,社會住宅包租代管公會版。續租案件;,5(揭露且明細顯示備註)
35,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區台灣大道一段２５８巷１６號２樓,141,住,,,11205,全,2,透天厝,住家用,見其他登記事項,551215,56,123.85,3,2,2,有,無,19000,153,,0,0,,2(資料揭露)
36,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民族路６４號８樓之３,4.48,商,,,11205,八層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,770929,35,38.75,1,0,1,有,有,6000,155,,0,0,因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,5(揭露且明細顯示備註)
37,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區公園路３８號九樓之８,6.83,商,,,11203,九層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,701231,41,51.16,1,0,1,有,有,8000,156,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
38,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區仁愛街１８號６樓之５,10,商,,,11201,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,680402,44,63.65,2,1,1,有,有,10000,157,,0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。續租。;,5(揭露且明細顯示備註)
39,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區綠川西街７１號８樓之４,3.9,商,,,11207,八層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,820120,30,35.05,1,0,1,有,有,5500,157,,0,0,社會住宅包租代管公會版。續租。;,5(揭露且明細顯示備註)
40,387000000A,66000,66000000,中區,建物,臺中市中區成功路３０６巷１０號１０樓之２,0,商,,,11204,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821102,29,50.31,1,0,1,有,有,8000,159,,0,0,,2(資料揭露)
41,387000000A,66000,66000000,中區,租賃房屋,臺中市中區民權路１６４號２４樓之２１,0,,,,11209,二十四層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,27,37.39,1,0,1,有,有,6000,160,,0,0,,2(資料揭露)
42,387000000A,66000,66000000,中區,租賃房屋,臺中市中區民權路１６４號２７樓之１８,3.86,商,,,11209,二十七層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,27,37.39,1,0,1,有,有,6000,160,,0,0,社會住宅包租代管案件租金市價打9折。因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,5(揭露且明細顯示備註)
43,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號１３樓之２７,3.86,商,,,11207,十三層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,37.55,1,0,1,有,有,6000,160,,0,0,,2(資料揭露)
44,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號２７樓之１７,3.86,商,,,11207,二十七層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,27,37.39,1,0,1,有,有,6000,160,,0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。,5(揭露且明細顯示備註)
45,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區三民路２段５９號十二樓之一,12.02,商,,,11206,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740521,38,29.84,1,0,1,有,有,4800,161,,0,0,社會住宅包租代管公會版(增辦31期),5(揭露且明細顯示備註)
46,387000000A,66000,66000000,中區,建物,臺中市中區大誠街５之８之２號,0,商,,,11208,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,580623,54,80.39,2,1,1,有,有,13000,162,,0,0,社宅案件,5(揭露且明細顯示備註)
47,387000000A,66000,66000000,中區,租賃房屋,臺中市中區公園路２１-９-７號,2.24,商,,,11210,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,580415,54,44.52,2,2,1,有,有,7300,164,,0,0,,2(資料揭露)
48,387000000A,66000,66000000,中區,租賃房屋,臺中市中區成功路３０６巷１０號１２樓之８,3.74,商,,,11211,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821102,30,42.31,0,0,0,無,有,7000,165,,0,0,,2(資料揭露)
49,387000000A,66000,66000000,中區,租賃房屋,臺中市中區仁愛街８-４號７樓之３,0,,,,11208,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670401,45,21.2,1,0,1,有,無,3500,165,,0,0,,2(資料揭露)
50,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號２２樓之２７,1.93,商,,,11205,二十二層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,37.55,1,0,1,有,有,6200,165,,0,0,社會住宅包租代管公會版(3期),5(揭露且明細顯示備註)
51,387000000A,66000,66000000,中區,建物,臺中市中區公園路３８號８樓之２６,0,商,,,11203,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701231,41,38.69,1,0,1,有,有,6400,165,,0,0,社宅案件,5(揭露且明細顯示備註)
52,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區成功路３０６巷１０號８樓之１３,4.01,商,,,11204,八層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,821102,29,45.07,1,0,1,有,有,7500,166,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
53,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民族路１５２之４之１號,10.69,商,,,11208,四層,5,公寓(5樓含以下無電梯),住家用,見其他登記事項,,0,90.17,2,1,1,有,有,15000,166,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
54,387000000A,66000,66000000,中區,租賃房屋,臺中市中區仁愛街８-４號７樓之５,0,,,,11210,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670401,46,33.18,1,0,1,有,無,5500,166,,0,0,,2(資料揭露)
55,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區光復路１０４號５樓之１２,4.02,商,,,11205,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,781016,34,35.96,1,0,1,有,有,6000,167,,0,0,社會住宅包租代管案件租金市價打9折。,5(揭露且明細顯示備註)
56,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區自由路二段２１號,21.49,商,,,11203,一層,9,店面(店鋪),商業用,鋼筋混凝土造,720309,40,102.06,1,1,1,有,無,17000,167,,0,0,,2(資料揭露)
57,387000000A,66000,66000000,中區,建物,臺中市中區民權路１６４號１２樓之３７,0,商,,,11201,十二層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,37.55,1,0,1,有,有,6400,170,,0,0,社宅案件,5(揭露且明細顯示備註)
58,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號１６樓之２７,1.53,商,,,11206,十六層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,37.55,1,0,1,有,有,6400,170,,0,0,社會住宅包租代管案件租金市價打9折。,5(揭露且明細顯示備註)
59,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區公園路３８號８樓之２２,4.09,商,,,11207,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701231,42,32.26,1,0,1,有,有,5500,170,,0,0,社會住宅包租代管公會版。續租。;,5(揭露且明細顯示備註)
60,387000000A,66000,66000000,中區,租賃房屋,臺中市中區民權路１６４號１６樓之１２,1.93,商,,,11208,十六層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,27,37.45,1,0,1,有,有,6400,171,,0,0,,2(資料揭露)
61,387000000A,66000,66000000,中區,租賃房屋,臺中市中區光復路３７號７樓之４,0,商,,,11209,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,751001,37,75.35,2,1,2,有,有,12900,171,,0,0,社會住宅包租代管案件租金市價打9折因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。土地所有權人非建物所有權人，故土地持分面積無法計算。,5(揭露且明細顯示備註)
62,387000000A,66000,66000000,中區,租賃房屋,臺中市中區臺灣大道一段３０６巷３５號六樓之１,0,,,,11208,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820827,30,69.8,2,1,1,有,無,12000,172,,0,0,住宅及都市更新中心辦理社會住宅包租代管計畫。,5(揭露且明細顯示備註)
63,387000000A,66000,66000000,中區,租賃房屋,臺中市中區自由路二段１２號三樓之１０,0,,,,11210,三層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,720427,40,29.03,1,0,1,有,有,5000,172,,0,0,,2(資料揭露)
64,387000000A,66000,66000000,中區,租賃房屋,臺中市中區民權路１６４號２２樓之３５,1.93,商,,,11211,二十二層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,27,37.55,1,0,1,有,有,6500,173,,0,0,社會住宅包租代管公會版(4期231),2(資料揭露)
65,387000000A,66000,66000000,中區,租賃房屋,臺中市中區民權路１６４號１７樓之２６,1.93,商,,,11209,十七層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,27,37.55,1,0,1,有,有,6500,173,,0,0,租金總額不含管理費，管理費另計。,5(揭露且明細顯示備註)
66,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號２０樓之３５,1.93,商,,,11206,二十層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,37.55,1,0,1,有,有,6500,173,,0,0,因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,5(揭露且明細顯示備註)
67,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號１７樓之４２,1.93,商,,,11203,十七層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,37.55,1,0,1,有,有,6500,173,,0,0,因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,5(揭露且明細顯示備註)
68,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號２２樓之２２,1.93,商,,,11204,二十二層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,37.39,1,0,1,有,有,6500,174,,0,0,社會住宅計劃案件，租金總額不含管理費，管理費另計。,5(揭露且明細顯示備註)
69,387000000A,66000,66000000,中區,建物,臺中市中區民權路１６４號二十七樓之８,0,商,,,11204,二十七層,28,套房(1房1廳1衛),住家用,鋼骨造,860131,26,37.45,1,0,1,有,有,6500,174,,0,0,台中市政府包租代管計畫。水電費、瓦斯費、網路費及每月管理費600元皆由承租人負擔。,5(揭露且明細顯示備註)
70,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號２２樓之１４,1.93,商,,,11201,二十二層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,37.39,1,0,1,有,有,6500,174,,0,0,社會住宅計劃案件，租金總額不含管理費，管理費另計。,5(揭露且明細顯示備註)
71,387000000A,66000,66000000,中區,建物,臺中市中區民權路１６４號２５樓之７,0,商,,,11205,二十五層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,37.45,1,0,1,有,有,6500,174,,0,0,社宅案件,5(揭露且明細顯示備註)
72,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號２８樓之１１、１２,3.86,商,,,11204,二十八層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,74.9,1,1,1,有,有,13000,174,,0,0,,2(資料揭露)
73,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號２６樓之１,2.1,商,,,11205,十六層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,40.29,1,0,1,有,有,7000,174,,0,0,社會住宅包租代管公會版(3期),5(揭露且明細顯示備註)
74,387000000A,66000,66000000,中區,建物,臺中市中區民權路１６４號二十六樓之１４,0,商,,,11206,二十六層,28,套房(1房1廳1衛),住家用,鋼骨造,860131,26,37.39,1,0,1,有,有,6500,174,,0,0,住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費由承租人負擔。,5(揭露且明細顯示備註)
75,387000000A,66000,66000000,中區,租賃房屋,臺中市中區自由路二段１２號八樓之９,0,,,,11209,八層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,720427,40,36.45,1,0,1,有,有,6340,174,,0,0,此為台中市政府社會住宅包租代管計畫。每月管理費660元。,5(揭露且明細顯示備註)
76,387000000A,66000,66000000,中區,租賃房屋,臺中市中區民權路１６４號１５樓之３,1.93,商,,,11211,十五層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,27,37.45,1,0,1,有,有,6500,174,,0,0,因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,2(資料揭露)
77,387000000A,66000,66000000,中區,租賃房屋,臺中市中區民權路１６４號２０樓之１０,1.93,商,,,11210,二十層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,27,37.45,1,0,1,有,有,6500,174,,0,0,續租案件;,2(資料揭露)
78,387000000A,66000,66000000,中區,租賃房屋,臺中市中區民權路１６４號１５樓之１５,1.93,商,,,11210,十五層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,27,37.39,1,0,1,有,有,6500,174,,0,0,租金總額不含管理費，管理費另計。續租案件;,5(揭露且明細顯示備註)
79,387000000A,66000,66000000,中區,租賃房屋,臺中市中區民權路１６４號２０樓之１１,1.93,商,,,11210,二十層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,27,37.45,1,0,1,有,有,6500,174,,0,0,續租案件;,2(資料揭露)
80,387000000A,66000,66000000,中區,租賃房屋,臺中市中區三民路貳段３７號１２樓-２,5.68,商,,,11211,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,791116,33,62.88,2,1,1,有,有,11000,175,,0,0,社會住宅包租代管公會版(31期96-1)續租案件;,2(資料揭露)
81,387000000A,66000,66000000,中區,租賃房屋,臺中市中區中華路一段１２１號１０樓之３２,1.65,商,,,11210,十層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,850520,27,34.08,0,0,0,無,有,6000,176,,0,0,社會住宅包租代管公會版。續租案件;,5(揭露且明細顯示備註)
82,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區民權路１６４號１５樓之２５,1.93,商,,,11204,十五層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,860131,26,37.55,1,0,1,有,有,6600,176,,0,0,社會住宅包租代管公會版(3期),5(揭露且明細顯示備註)
83,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區三民路二段１７巷４號５樓之６,4.3,商,,,11202,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760521,36,25.37,1,0,1,有,有,4500,177,,0,0,社會住宅包租代管案件租金市價打9折,5(揭露且明細顯示備註)
84,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區仁愛街１８號６樓之４,7,商,,,11204,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,680402,44,73.38,2,1,1,有,有,13000,177,,0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。,5(揭露且明細顯示備註)
85,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區光復路１４２號２樓,19.8,商,,,11205,全,4,透天厝,商業用,鋼筋混凝土造,650623,47,84.9,0,0,0,無,無,15000,177,,0,0,,2(資料揭露)
86,387000000A,66000,66000000,中區,租賃房屋,臺中市中區成功路３０６巷１０號１５樓之３,4.01,商,,,11211,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821102,30,45.11,1,0,1,有,有,8000,177,,0,0,,2(資料揭露)
87,387000000A,66000,66000000,中區,租賃房屋,臺中市中區綠川東街３２號８樓之１４,7.49,商,,,11208,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,670306,45,52.06,1,0,1,有,有,9200,177,,0,0,續租案件;,2(資料揭露)
88,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區大誠街１０８號４樓２號,5.36,商,,,11201,四層,7,套房(1房1廳1衛),,鋼筋混凝土造,690731,42,33.17,1,0,1,有,有,5900,178,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
89,387000000A,66000,66000000,中區,建物,臺中市中區光復路３７號四樓之１,0,商,,,11202,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,751001,36,81.42,3,2,1,有,有,14500,178,,0,0,台中市政府包租代管計畫；水電瓦斯、網路費及每月管理費630元由承租人另外負擔。,5(揭露且明細顯示備註)
90,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區中華路一段１２１號１３樓之５,3.15,商,,,11112,十三層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,850520,27,60.18,1,1,2,有,有,10800,179,,0,0,社會住宅包租代管公會版。,5(揭露且明細顯示備註)
91,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區公園路２之５之３６號,11.03,商,,,11208,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660625,46,42,1,1,1,有,有,7500,179,,0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。,5(揭露且明細顯示備註)
