編號,機關代碼,縣市別代碼,行政區域代碼,鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,民國年月,移轉層次,總層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
7794,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區中清路九段１３５３巷２號,78,住,,,11203,全,2,透天厝,住家用,加強磚造、水泥平頂、水泥地床,640715,48,101.16,5,2,3,有,無,18000,178,,0,0,社會住宅包租代管案件租金市價打9折。,5(揭露且明細顯示備註)
7795,387000000A,66000,66000000,清水區,建物,臺中市清水區民族路三段１２１號四樓之３,0,商,,,11201,四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100717,1,141.77,3,2,2,有,有,25500,180,,0,0,台中市政府包租代管計畫。水電費、瓦斯費、網路費皆由承租人負擔。,5(揭露且明細顯示備註)
7796,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１３６號五樓之６,21.19,商,,,11204,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,165.93,3,2,2,有,無,30000,181,坡道平面,32.71,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7797,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１３２號五樓之６,21.4,商,,,11204,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,165.48,3,2,2,有,有,30000,181,坡道平面,32.71,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7798,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１２２號八樓之６,21.19,商,,,11204,八層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,165.93,3,2,2,有,有,30000,181,坡道平面,32.71,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7799,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區民有路２５５號４樓,25.89,住,,,11203,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080111,4,88.85,2,2,1,有,有,16200,182,,0,0,社會住宅包租代管案件租金市價打9折。因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,5(揭露且明細顯示備註)
7800,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區中山路１９-２號３樓之１,24.73,住,,,11206,三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1101022,2,140.6,3,2,2,有,有,25650,182,坡道平面,27.73,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7801,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區大勇路１３０號六樓之２,10.75,商,,,11206,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,80.99,2,1,1,有,有,15000,185,,0,0,社會住宅包租代管公會版(增辦31期),5(揭露且明細顯示備註)
7802,387000000A,66000,66000000,清水區,租賃房屋,臺中市清水區港都路１６１號１４樓之３,14.15,商,,,11208,十四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060905,6,106.46,2,2,1,有,有,20000,188,,0,0,租金總額含管理費;,2(資料揭露)
7803,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１２０號十三樓之３,6.54,商,,,11206,十三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,164.64,3,2,2,有,有,31630,192,坡道平面,65.41,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7804,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區鰲峰路３８５巷７號９樓,0,住,,,11207,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880825,24,93.8,4,2,1,有,無,18000,192,,0,0,,2(資料揭露)
